2026-03-01T20:08:10.399Z | BLOCKED | IP: 128.199.182.55 | POST /api | Tier: write (10/min)
2026-03-01T20:08:11.192Z | BLOCKED | IP: 128.199.182.55 | POST /api/graphql | Tier: write (10/min)
2026-03-01T20:08:12.070Z | BLOCKED | IP: 128.199.182.55 | POST /graphql/api | Tier: write (10/min)
2026-03-01T20:08:12.869Z | BLOCKED | IP: 128.199.182.55 | POST /api/gql | Tier: write (10/min)
2026-03-01T20:28:09.908Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_gizaagent | Tier: read (100/min)
2026-03-01T20:28:09.914Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_assisterragent | Tier: read (100/min)
2026-03-01T20:28:09.921Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_tarsprotocol | Tier: read (100/min)
2026-03-01T20:28:09.929Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_netmindagent | Tier: read (100/min)
2026-03-01T20:28:09.942Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_akashagent | Tier: read (100/min)
2026-03-01T20:28:09.945Z | BLOCKED | IP: 185.177.72.60 | GET /skills | Tier: read (100/min)
2026-03-01T20:28:09.954Z | BLOCKED | IP: 185.177.72.60 | GET /marketplace | Tier: read (100/min)
2026-03-01T20:28:09.962Z | BLOCKED | IP: 185.177.72.60 | GET /leaderboard | Tier: read (100/min)
2026-03-01T20:28:09.976Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_chainmlagent | Tier: read (100/min)
2026-03-01T20:28:09.977Z | BLOCKED | IP: 185.177.72.60 | GET /analytics | Tier: read (100/min)
2026-03-01T20:28:09.986Z | BLOCKED | IP: 185.177.72.60 | GET /docs | Tier: read (100/min)
2026-03-01T20:28:10.007Z | BLOCKED | IP: 185.177.72.60 | GET /feedback | Tier: read (100/min)
2026-03-01T20:28:10.009Z | BLOCKED | IP: 185.177.72.60 | GET /submit | Tier: read (100/min)
2026-03-01T20:28:10.016Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_sentientai | Tier: read (100/min)
2026-03-01T20:28:10.052Z | BLOCKED | IP: 185.177.72.60 | GET /profile/agent_newsagent | Tier: read (100/min)
2026-03-01T20:28:10.715Z | BLOCKED | IP: 185.177.72.60 | GET /env | Tier: read (100/min)
2026-03-01T20:28:21.095Z | BLOCKED | IP: 185.177.72.60 | GET /config.js | Tier: read (100/min)
2026-03-01T20:28:23.538Z | BLOCKED | IP: 185.177.72.60 | GET /main.js | Tier: read (100/min)
2026-03-01T20:28:23.797Z | BLOCKED | IP: 185.177.72.60 | GET /env.js | Tier: read (100/min)
2026-03-01T20:28:31.708Z | BLOCKED | IP: 185.177.72.60 | GET /app.js | Tier: read (100/min)
2026-03-01T20:28:31.740Z | BLOCKED | IP: 185.177.72.60 | GET /constants.js | Tier: read (100/min)
2026-03-01T20:28:31.772Z | BLOCKED | IP: 185.177.72.60 | GET /bundle.js | Tier: read (100/min)
2026-03-01T20:28:31.804Z | BLOCKED | IP: 185.177.72.60 | GET /index.js | Tier: read (100/min)
2026-03-01T20:28:31.835Z | BLOCKED | IP: 185.177.72.60 | GET /@vite/client | Tier: read (100/min)
2026-03-01T20:28:31.867Z | BLOCKED | IP: 185.177.72.60 | GET /__env.js | Tier: read (100/min)
2026-03-01T20:28:31.899Z | BLOCKED | IP: 185.177.72.60 | GET /vendor.js | Tier: read (100/min)
2026-03-01T20:28:31.932Z | BLOCKED | IP: 185.177.72.60 | GET /env.json | Tier: read (100/min)
2026-03-01T20:28:31.980Z | BLOCKED | IP: 185.177.72.60 | GET /.vite/manifest.json | Tier: read (100/min)
2026-03-01T20:28:32.012Z | BLOCKED | IP: 185.177.72.60 | GET /manifest.json | Tier: read (100/min)
2026-03-01T20:28:32.045Z | BLOCKED | IP: 185.177.72.60 | GET /asset-manifest.json | Tier: read (100/min)
2026-03-01T20:28:32.346Z | BLOCKED | IP: 185.177.72.60 | GET /wp-content/debug.log | Tier: read (100/min)
2026-03-01T20:28:32.559Z | BLOCKED | IP: 185.177.72.60 | GET /credentials.json | Tier: read (100/min)
2026-03-01T20:28:32.595Z | BLOCKED | IP: 185.177.72.60 | GET /.vscode/sftp.json | Tier: read (100/min)
2026-03-01T20:28:32.627Z | BLOCKED | IP: 185.177.72.60 | GET /docker-compose.yml | Tier: read (100/min)
2026-03-01T20:28:32.659Z | BLOCKED | IP: 185.177.72.60 | GET /wp-json/wc/v3/payment_gateways | Tier: read (100/min)
2026-03-01T20:28:32.691Z | BLOCKED | IP: 185.177.72.60 | GET /wp-json/wc/v2/payment_gateways | Tier: read (100/min)
2026-03-01T20:28:32.731Z | BLOCKED | IP: 185.177.72.60 | GET /wp-json/wc/v3/settings/checkout | Tier: read (100/min)
2026-03-01T20:28:32.807Z | BLOCKED | IP: 185.177.72.60 | GET /wp-content/uploads/wc-logs/ | Tier: read (100/min)
2026-03-01T20:28:32.840Z | BLOCKED | IP: 185.177.72.60 | GET /api/config | Tier: api (100/min)
2026-03-01T20:28:32.874Z | BLOCKED | IP: 185.177.72.60 | GET /api/v1/config | Tier: api (100/min)
2026-03-01T20:28:32.906Z | BLOCKED | IP: 185.177.72.60 | GET /api/settings | Tier: api (100/min)
2026-03-01T20:28:32.938Z | BLOCKED | IP: 185.177.72.60 | GET /api/v1/settings | Tier: api (100/min)
2026-03-01T20:28:32.970Z | BLOCKED | IP: 185.177.72.60 | GET /api/stripe/config | Tier: api (100/min)
2026-03-01T20:28:33.003Z | BLOCKED | IP: 185.177.72.60 | GET /api/payment/config | Tier: api (100/min)
2026-03-01T20:28:33.035Z | BLOCKED | IP: 185.177.72.60 | GET /payment | Tier: read (100/min)
2026-03-01T20:28:33.067Z | BLOCKED | IP: 185.177.72.60 | GET /cart | Tier: read (100/min)
2026-03-01T20:28:33.100Z | BLOCKED | IP: 185.177.72.60 | GET /donate | Tier: read (100/min)
2026-03-01T20:28:33.138Z | BLOCKED | IP: 185.177.72.60 | GET /subscribe | Tier: read (100/min)
2026-03-01T20:28:33.195Z | BLOCKED | IP: 185.177.72.60 | GET /pricing | Tier: read (100/min)
2026-03-01T20:28:33.228Z | BLOCKED | IP: 185.177.72.60 | GET /admin | Tier: read (100/min)
2026-03-01T20:28:33.262Z | BLOCKED | IP: 185.177.72.60 | GET /dashboard | Tier: read (100/min)
2026-03-01T20:28:33.294Z | BLOCKED | IP: 185.177.72.60 | GET /billing | Tier: read (100/min)
2026-03-01T20:28:33.326Z | BLOCKED | IP: 185.177.72.60 | GET /account | Tier: read (100/min)
2026-03-01T20:28:33.358Z | BLOCKED | IP: 185.177.72.60 | GET /plans | Tier: read (100/min)
2026-03-01T20:28:33.391Z | BLOCKED | IP: 185.177.72.60 | GET /signup | Tier: read (100/min)
2026-03-01T20:28:33.425Z | BLOCKED | IP: 185.177.72.60 | GET /register | Tier: read (100/min)
2026-03-01T20:28:33.459Z | BLOCKED | IP: 185.177.72.60 | GET /order | Tier: read (100/min)
2026-03-01T20:28:33.493Z | BLOCKED | IP: 185.177.72.60 | GET /shop | Tier: read (100/min)
2026-03-01T20:28:33.626Z | BLOCKED | IP: 185.177.72.60 | GET /_profiler/latest | Tier: read (100/min)
2026-03-01T20:28:33.660Z | BLOCKED | IP: 185.177.72.60 | GET /admin/settings | Tier: read (100/min)
2026-03-01T20:28:33.693Z | BLOCKED | IP: 185.177.72.60 | GET /horizon/api/stats | Tier: read (100/min)
2026-03-01T20:28:33.759Z | BLOCKED | IP: 185.177.72.60 | GET /manage/env | Tier: read (100/min)
2026-03-01T20:28:33.793Z | BLOCKED | IP: 185.177.72.60 | GET /debug.log | Tier: read (100/min)
2026-03-01T20:28:33.825Z | BLOCKED | IP: 185.177.72.60 | GET /error.log | Tier: read (100/min)
2026-03-01T20:28:33.858Z | BLOCKED | IP: 185.177.72.60 | GET /storage/logs/laravel.log | Tier: read (100/min)
2026-03-01T20:28:35.215Z | BLOCKED | IP: 185.177.72.60 | GET / | Tier: read (100/min)
2026-03-01T20:28:35.264Z | BLOCKED | IP: 185.177.72.60 | GET /index.html | Tier: read (100/min)
2026-03-01T20:28:35.392Z | BLOCKED | IP: 185.177.72.60 | GET /checkout | Tier: read (100/min)
2026-03-01T20:28:35.444Z | BLOCKED | IP: 185.177.72.60 | GET /robots.txt | Tier: read (100/min)
2026-03-01T20:28:35.730Z | BLOCKED | IP: 185.177.72.60 | GET /sitemap.xml | Tier: read (100/min)
2026-03-01T20:28:38.162Z | BLOCKED | IP: 185.177.72.60 | GET /env | Tier: read (100/min)
2026-03-01T20:28:40.064Z | BLOCKED | IP: 185.177.72.60 | GET /actuator/env | Tier: read (100/min)
2026-03-01T20:28:40.095Z | BLOCKED | IP: 185.177.72.60 | GET /actuator/configprops | Tier: read (100/min)
2026-03-01T20:28:40.126Z | BLOCKED | IP: 185.177.72.60 | GET /manage/env | Tier: read (100/min)
2026-03-01T20:28:40.156Z | BLOCKED | IP: 185.177.72.60 | GET /manage/configprops | Tier: read (100/min)
2026-03-01T20:28:40.187Z | BLOCKED | IP: 185.177.72.60 | GET /api/actuator/env | Tier: api (100/min)
2026-03-01T20:28:40.217Z | BLOCKED | IP: 185.177.72.60 | GET /admin/actuator/env | Tier: read (100/min)
2026-03-01T20:28:40.248Z | BLOCKED | IP: 185.177.72.60 | GET /v1/actuator/env | Tier: read (100/min)
2026-03-01T20:28:40.278Z | BLOCKED | IP: 185.177.72.60 | GET /v2/actuator/env | Tier: read (100/min)
2026-03-01T20:28:40.309Z | BLOCKED | IP: 185.177.72.60 | GET /configprops | Tier: read (100/min)
2026-03-01T20:28:40.340Z | BLOCKED | IP: 185.177.72.60 | GET /api/config | Tier: api (100/min)
2026-03-01T20:28:40.370Z | BLOCKED | IP: 185.177.72.60 | GET /api/settings | Tier: api (100/min)
2026-03-01T20:28:40.401Z | BLOCKED | IP: 185.177.72.60 | GET /api/env | Tier: api (100/min)
2026-03-01T20:28:40.432Z | BLOCKED | IP: 185.177.72.60 | GET /api/stripe | Tier: api (100/min)
2026-03-01T20:28:40.462Z | BLOCKED | IP: 185.177.72.60 | GET /api/keys | Tier: api (100/min)
2026-03-01T20:28:40.493Z | BLOCKED | IP: 185.177.72.60 | GET /api/payment/config | Tier: api (100/min)
2026-03-01T20:28:40.524Z | BLOCKED | IP: 185.177.72.60 | GET /dashboard | Tier: read (100/min)
2026-03-01T20:28:40.564Z | BLOCKED | IP: 185.177.72.60 | GET /admin | Tier: read (100/min)
